landmark,x,y,z
ACL_AM1,140.333419945423,85.6359083998607,-448.76272717697
ACL_AM2,140.728559883806,87.7984014032604,-449.114327461072
ACL_PL1,142.017832006047,88.2926407871181,-455.749529693083
ACL_PL2,138.984109709471,86.8362908635869,-453.316359241418
PCL_AL1,123.749485765141,87.5354003212767,-451.81882226628
PCL_AL2,123.39961034991,89.7228453955027,-455.085236242146
PCL_PM1,121.99052013855,90.3912659733958,-451.50497414813
PCL_PM2,122.476866380937,93.1823507943602,-454.563304213246
LCL_1,181.41015744777,79.7544350994714,-456.060588901435
LCL_2,181.733669711315,82.6483662198887,-455.135737903641
LCL_3,179.834176835041,84.4878669344177,-455.085098928345
MCL_Ant,84.9737072778557,78.7630064687081,-447.010217164865
MCL_Med,86.4648599486461,84.8317572095752,-444.08480786318
MCL_Post,89.1151738666947,92.0814726500044,-442.525791476124
MCL_D1,83.9791670845619,82.6952364391986,-453.860958204546
MCL_D2,86.4170215467492,88.4561314328431,-453.212753704726
MCL_D3,90.6265053268467,93.8792846100359,-452.548638611304
ALS_1,180.988282587101,75.3014930503604,-455.929396339183
ALS_2,180.979075777767,77.2780978461361,-455.659106468697
ALS_3,181.301257904922,79.1249058454029,-455.213415210485
PFL_1,181.40318560591,87.4057454279354,-460.866463196088
PFL_2,181.947969283948,91.1166917869938,-458.056642812481
PFL_3,179.776773822641,94.2244590828309,-456.15404632848
POL_1,89.2238606584202,91.6625826162512,-458.058345991092
POL_2,91.2874279241786,93.9030081488338,-457.287549973096
PCAPL_1,167.169128653524,85.4395555889455,-436.426344772189
PCAPL_2,156.890379798308,88.9172113473485,-434.807729730402
PCAPL_3,149.872121306639,88.80842434135,-436.254668022267
PCAPM_1,121.466972839002,98.9875454359048,-446.041607800038
PCAPM_2,110.005021947934,107.1066744842,-445.700927377089
PCAPM_3,96.8490522682481,102.03437206973,-447.164591432311
