landmark,x,y,z
ACL_AM1,131.381610964114,61.5509318375569,-482.171820091339
ACL_AM2,129.211707744204,63.3451086751444,-480.416462526437
ACL_PL1,132.546889362889,71.3531039670662,-481.103842279204
ACL_PL2,134.023577252024,70.5775379597478,-482.129232989545
PCL_AL1,136.494279976087,92.1917679308183,-489.137569121439
PCL_AL2,139.839195314802,94.0754578586609,-492.42353875253
PCL_PM1,130.021647921732,94.0894889809326,-489.450258725494
PCL_PM2,132.283123108188,94.1572929271874,-493.60069855915
LCL_1,196.70725183805,77.1453589147488,-502.417027223098
LCL_2,194.686687893141,77.1877114034262,-498.82600360672
LCL_3,197.578885342708,80.1498245110089,-499.936704849439
MCL_Ant,115.422215169067,66.4379975364329,-539.964335516415
MCL_Mid,112.004188243573,72.0878521976329,-542.595964167984
MCL_Post,113.86544501751,76.9629758626633,-542.432311208597
MCL_D1,90.2459456196728,72.1199784305999,-496.006151336633
MCL_D2,90.2744680798828,81.8975717328737,-498.211472450347
MCL_D3,98.0018143914089,93.3868685074864,-499.756059430066
ALS_1,175.622074838936,58.2820109042507,-500.543109325728
ALS_2,175.646200850494,61.0936344917607,-497.098126572709
ALS_3,176.810361778568,62.8853482072874,-493.058092718202
PFL_1,186.54367320691,88.5553027677478,-492.454907392509
PFL_2,185.384929576673,95.5391631126101,-494.445730542504
PFL_3,177.172370787856,90.4443482274244,-499.317049759638
POL_1,104.810462491289,98.0677236615245,-496.744017868112
POL_2,100.924933887952,96.5447824347633,-497.319613528894
PCAPL_1,177.213251406162,85.5672688712447,-479.148219585985
PCAPL_2,163.431006242351,89.82945554854,-478.971109896544
PCAPL_3,148.598041260644,93.6584764221148,-481.845887468312
PCAPM_1,124.333296858139,96.4201319871515,-483.107213048695
PCAPM_2,108.999938731796,105.252729515915,-488.105158016627
PCAPM_3,97.5080139472885,99.5256655836479,-505.135146995537
